Context,Question,Answer
Context,Question,Answer
"Objective one focuses on refining our role within the Cardano Ecosystem. We still have an enormous amount of work to do, for example:
CIP 1694
The transition work on Intersect
Aligning the product portfolio to become an elite engineering company as IO Infrastructure
And many ambitious research priorities…
Objective two
focuses on our current web 3 portfolio - something we’re calling ‘Portfolio Zero.’ There's enormous effort that's gone into this portfolio and we’re preparing each entity to become its own company.
Objective three sets us up to do this forever. It’s about building a Venture Studio that has the capacity to spin out portfolios on an annualized basis - growing new codes, and taking advantage of these ecosystems that we've constructed.
To enable that, we need objective four: great internal systems, procedures, and operations. We have a dedicated focus on evolving our business operations to meet these needs, and we're already making great progress.
Last but not least, objective five is all about our people and culture. We are focused on preserving, protecting, and growing our people so that they're great partners in this journey.","""How do the objectives of refining the role within the Cardano Ecosystem, preparing the current web 3 portfolio for independence, building a Venture Studio, improving internal systems and procedures, and focusing on people and culture contribute to the long-term growth and success of the organization?""","The five objectives contribute to the long-term growth and success of the organization by focusing on different aspects of the business. Objective one, refining the role within the Cardano Ecosystem, ensures that the organization is aligned with the broader ecosystem and can effectively leverage its resources. This includes work on CIP 1694 and the transition of Intersect, as well as aligning the product portfolio to become an elite engineering company. Objective two, preparing the current web 3 portfolio for independence, involves preparing each entity to become its own company, which can lead to increased autonomy and growth. Objective three, building a Venture Studio, enables the organization to spin out portfolios on an annualized basis, which can lead to new revenue streams and a diversified portfolio. Objective four, improving internal systems and procedures, focuses on evolving business operations to meet the needs of the organization, which can lead to increased efficiency and scalability. Objective five, focusing on people and culture, ensures that the organization has a strong foundation of talented and motivated individuals who can drive growth and innovation in the long-term. Together, these objectives provide a comprehensive approach to long-term growth and success."
Context,Question,Answer
"Objective one focuses on refining our role within the Cardano Ecosystem. We still have an enormous amount of work to do, for example:
CIP 1694
The transition work on Intersect
Aligning the product portfolio to become an elite engineering company as IO Infrastructure
And many ambitious research priorities…
Objective two
focuses on our current web 3 portfolio - something we’re calling ‘Portfolio Zero.’ There's enormous effort that's gone into this portfolio and we’re preparing each entity to become its own company.
Objective three sets us up to do this forever. It’s about building a Venture Studio that has the capacity to spin out portfolios on an annualized basis - growing new codes, and taking advantage of these ecosystems that we've constructed.
To enable that, we need objective four: great internal systems, procedures, and operations. We have a dedicated focus on evolving our business operations to meet these needs, and we're already making great progress.
Last but not least, objective five is all about our people and culture. We are focused on preserving, protecting, and growing our people so that they're great partners in this journey.","""How do the objectives of refining the role within the Cardano Ecosystem, preparing the current web 3 portfolio for independence, building a Venture Studio, improving internal systems and procedures, and focusing on people and culture contribute to the long-term growth and success of the organization?""","The five objectives contribute to the long-term growth and success of the organization by focusing on different aspects of the business. Objective one, refining the role within the Cardano Ecosystem, ensures that the organization is aligned with the broader ecosystem and can effectively leverage its resources. This includes work on CIP 1694 and the transition of Intersect, as well as aligning the product portfolio to become an elite engineering company. Objective two, preparing the current web 3 portfolio for independence, involves preparing each entity to become its own company, which can lead to increased autonomy and efficiency. Objective three, building a Venture Studio, enables the organization to spin out portfolios on an annualized basis and take advantage of the ecosystems it has constructed, leading to new opportunities and growth. Objective four, improving internal systems and procedures, focuses on evolving business operations to meet the needs of the organization, which can lead to increased efficiency and scalability. Finally, objective five, focusing on people and culture, ensures that the organization has a strong foundation of talented and engaged individuals who can drive its success in the long term. By addressing these different areas, the organization can create a well-rounded and sustainable strategy for long-term growth and success."
"Our 2023 objectives contained some incredibly ambitious stretch goals. We were able to deliver most of the core objectives, largely down to our collective hard work, but also down to the quarterly planning and review rhythm and structure that we’re now operating within.
Let’s take a look at the 2023 objectives:
Objective 1 - Execute the Cardano Transition
Focus our ongoing work under four key goals:
Consent
- hold and win the vote to ratify the era of Voltaire Governance.
Consistency
- to build an independent development engine capable of ensuring the same high levels of performance.
Clarity
- ensuring at all time throughout the transition that the whole Cardano community understands where we are going and how they contribute.
Decentralization
- achieve a new level of decentralization, making Cardano the most decentralized blockchain according to the EDI Index.
Objective 2 - Align our Product Portfolio Strategy
Align our product portfolio to our future vision. Ensure our products have strategies that are cohesive with other IOG products and have a clear pathway to success.
Objective 3 - Drive Investment in IO Subsidiaries
We will set up investment vehicles to finance opportunities within the current IO portfolio and the future venture studio opportunities.
Objective 4 - IO becomes and Parent Company
IO transitions into a company capable of managing various subsidiaries and evolving shared services and all capabilities.
Objective 5 - Improve Business Operations
We will build an advanced, data driven operating model, facilitating agile innovation and delivery.
Objective 6 - People and Resourcing
As we embark on a year of change, our main priority will be to support our people and equip our line managers with the skills and knowledge to keep people informed and engaged as we move from “The Cardano Company” to a parent company and an innovation factory.","Which objective focuses on achieving a new level of decentralization for the Cardano blockchain, according to the EDI Index?","Objective 1, Decentralization, focuses on achieving a new level of decentralization for the Cardano blockchain, according to the EDI Index."
"Launch Current Portfolio Into Ventures
In 2024, we will continue to launch the current portfolio (Portfolio Zero) into fully fledged ventures through a gated and supported spinout process. As a venture moves through each of these phases, they develop in each of the areas seen below.
As companies move from left to right, our commercial horizon will change. Firstly, some of the ideas we may have thought were the best ideas in the entire world, turn out not to be, so we shut them down. On the other hand, we might realize some initiatives are very similar to others, so we merge them together.
Sometimes it’s not about making money - it’s about securing or protecting something. Or, if it's a core piece of infrastructure we’ll open source it.
Other times, we make linear progress. When an idea is ‘fully realized’ and it’s self-sustaining, we've left behind an institution unto itself.
Every now and then, something will move back from right to left if we discover new information, or we realize that our business hypothesis isn't true.
It's a dynamic, creative, and flowing process, but it creates a lot of value as you start moving towards step 5. There's a huge multiple of value creation because you have real customers, real commercial models, liquidity, external investors, and a really good product market fit.
We’ll always be thinking about our portfolio alignment. These aren't just independent siloed ideas - they're part of a larger web, and if we get our web just right, we make money for each other.
Attract Investment
We’re in a privileged position where we can be particular on who we invest with; and we’re prioritizing smart capital from strategic investors from different sources to diversify participation.
We’ve invested in additional talent to support this objective, who will focus on expanding our investment network and raise awareness of our portfolio companies through strategic marketing intelligence. They’ll ensure we align our investment pitches with the new IOG corporate strategy.
Pilot Venture Governance and Servicing Approach
As ventures make their way through the process, we’ll always be learning, improving, and refining things. This will be the foundation to inform the design for our venture studio with a web3 focus. The definition of our long term relationships with web3-launched-ventures will be central to this sub objective, as well as taking an integrated approach to portfolio management.",How does the gated and supported spinout process for launching the current portfolio into fully fledged ventures contribute to the creation of value and alignment of the portfolio companies as a larger web?,"The gated and supported spinout process for launching the current portfolio into fully fledged ventures contributes to the creation of value and alignment of the portfolio companies as a larger web by providing a dynamic, creative, and flowing process that moves companies from left to right, starting with initial ideas and progressing towards fully realized, self-sustaining institutions. This process involves making strategic decisions such as shutting down non-viable ideas, merging similar initiatives, securing or protecting critical infrastructure, and making linear progress towards commercialization. The process also allows for companies to move back from right to left if new information or a change in business hypothesis requires it.
        As companies move towards step 5, there is a significant multiple of value creation due to real customers, commercial models, liquidity, external investors, and a strong product-market fit. The process also emphasizes the importance of portfolio alignment, with companies viewed as part of a larger web rather than independent siloed ideas.
        Additionally, the company is prioritizing smart capital from strategic investors from different sources to diversify participation and has invested in additional talent to support this objective. This talent will focus on expanding the investment network and raising awareness of portfolio companies through strategic marketing intelligence, ensuring that investment pitches align with the new IOG corporate strategy.
        The company will also pilot a venture governance and servicing approach as ventures make their way through the process, continuously learning, improving, and refining things. This will inform the design for a venture studio with a web3 focus and define long-term relationships with web3-launched-ventures, taking an integrated approach to portfolio management."
"Explore the IOG Venture Studio Design and Strategy
By focusing our future Venture Studio on web 3 - we’re leaning into our strengths. Objective one will pilot venture governance, and objective three (this objective) will build it.
It’ll be a modular IOG corporate strategy that explores different things such as mergers and acquisitions, partnerships, or even acquiring a web3 Venture Studio that's already in the market.
Ecosystem Thinking
As one of our competitive advantages, we’re building an ‘ecosystem view.’ There's a lot of siloing in this organization, so we will build an advanced collaboration model that's going to work with the customer at the center of it.
Exponential Organization
There are many different perspectives one can take to view IOG. Let’s get oriented.
This view shows us how we stage the growth of the company. This is a single functional view, and as we go through this journey we’ll develop other views on things like capability, accountability, and governance. Thinking of ourselves as an integration engine brings us together to work seamlessly as a strategic operations function.
We want to make things small so we have really agile and accountable groups, facilitated by that form and function. When we pull structures apart in the right way, they produce emergent value to each other.
Where do you go if you want to build a Venture Studio? Well, you need a hub!
About 90% of the world's venture capital and startups sit in such hubs. A hub liberates you to build a campus in a place that maximizes lifestyle. As we get deeper into the year, we'll start exploring places for the idea and protocols to be grown - kind of like our own
Bell Labs
.
It’s not a priority for this year, but we're committed to this model. Hopefully, it will inspire entire generations of people who go through it. It’ll be our legacy as an organization, and the nerve center upon which we innovate.
The New IOG Brand
In terms of the IOG brand, this year we’re prioritizing getting really clear about the identity of the company. We want to have a crystalized image of who we are, we want to consistently honor that image in all our communications (internal and external), and we want to lead every interaction with authenticity.","How does IOG's venture studio strategy aim to utilize an 'ecosystem view' and potential mergers, acquisitions, or partnerships to build a modular corporate strategy focused on web 3?","IOG's venture studio strategy aims to build a modular corporate strategy focused on web 3 by utilizing an 'ecosystem view' and potentially pursuing mergers, acquisitions, or partnerships. The 'ecosystem view' is a competitive advantage that IOG is building, which involves creating an advanced collaboration model with the customer at the center. This approach aims to break down silos within the organization and facilitate the growth of the company through a single functional view. As part of this strategy, IOG is considering the possibility of acquiring a web3 Venture Studio that is already in the market. Additionally, the venture studio will explore different things such as mergers, acquisitions, or partnerships to expand its capabilities and offerings in the web 3 space. The goal is to create a hub that will serve as a campus for the idea and protocols to be grown, similar to Bell Labs, which will inspire future generations and serve as the nerve center for innovation within the organization."
"Improve Efficiency and Effectiveness
PI planning has made big strides in 2023, and there's more wins on the way this year in terms of reducing bureaucracy, and improving overall effectiveness. We’ll also roll out the PI process to different functions, such as the President's Office.
Provide Excellent, Customized Services
The Operations team is evolving to support the spin out entities on continuous improvement and budgeting, too.
Create A Predictable and Reliable Operating System
Underpinned by performance metrics to support shared service delivery and the spin out process, we will develop and implement continuous improvement strategy for business operations. There will also be a focus on supporting quarterly executive planning with budget inputs.
Our budget process is a great example of how we’re already improving the process this year:
We’re aligning budget check-ins to quarterly deliverable cycles and PI Planning to better understand budget health through the year
Adopting a strategy led budgeting process to provide a north star to inform the resources required to support the roadmap
We’re utilizing data to tell the budget story - for example, a spin out will require a higher marketing spend when they’re ready to launch
We’re also connecting budgets to value demos to understand the actual spend and value delivered to help us make proactive decisions","How is the PI planning process being leveraged to improve efficiency and effectiveness, and what role does the Operations team play in supporting continuous improvement and budgeting for spin out entities?","The PI planning process is being leveraged to improve efficiency and effectiveness by reducing bureaucracy and improving overall effectiveness. This is being achieved by rolling out the PI process to different functions, such as the President's Office. The Operations team is playing a crucial role in supporting continuous improvement and budgeting for spin out entities. They are evolving to support these entities on continuous improvement and budgeting. Additionally, a predictable and reliable operating system is being created by underpinning performance metrics to support shared service delivery and the spin out process. A continuous improvement strategy for business operations is also being developed and implemented. The budget process is a great example of how the process is being improved this year. Budget check-ins are being aligned to quarterly deliverable cycles and PI Planning to better understand budget health through the year. A strategy led budgeting process is being adopted to provide a north star to inform the resources required to support the roadmap. Data is being utilized to tell the budget story, such as a spin out requiring a higher marketing spend when they're ready to launch. Budgets are also being connected to value demos to understand the actual spend and value delivered to help make proactive decisions."
"There's an enormous amount of raw value that's been constructed within the Cardano ecosystem:
The DAP (decentralized app) portfolio
The sovereign wealth fund of Cardano
The network effect of the ecosystem
The brand value
And more...
We're still very committed to Cardano, and we’re repositioning ourselves to a role where we have a healthy, productive, well-managed relationship with the ecosystem. In this new relationship we’ll get to create value together, but at the same time, we get to keep doing the things that we love.
Cardano 2.0
Cardano 2.0 is our future vision of Cardano, as partners within the community. This research-focused vision is the extension of our first paper
Why Cardano
.
Our first workshop on this kicked off with the end in mind. We started with questions like:
how do we eclipse all other cryptocurrencies and become the world standard? What would a trillion dollar ecosystem look like?
This brought us back to the philosophical guts of our research agenda. It's easy to build systems that have lots of features and capabilities, but those systems do not necessarily have the same philosophical compatibility when we talk about cryptocurrencies, for example: centralization and inclusive accountability.
Therefore, the need for tenets becomes critical. As design principles and goals within the Cardano constitution in the future, tenets will help the community steer the vision.
We have this meta problem when we talk about a decentralized ecosystem - there’s no single person making decisions. The only way to deliver the Cardano vision is to write down these tenets, and make a proposal to the community for ratification.
Similar to the Bill of Rights in the US Constitution, these tenets are telling you -
a user of the system
- that certain things that you think are true, will stay true in the protocol: you're not going to have your funds locked, your transactions are not going to be blocked, and you're not going to be prevented from deploying an application. You can't be censored in that dimension.
The system will safely preserve the value and information that you decide to store in it. Meaning, you're not going to have somebody edit the blockchain because it's inconvenient to them. If we put it in the constitution, we put it into the design language, and we put it into the roadmap. Not only do we preserve these types of things, but we find a way to stay competitive.
When you widen the aperture, this will be one of the biggest differentiators between us and other web3 ecosystems. Our ecosystem wears its values on its sleeve, and we care so much about them that we're prepared to commit ourselves to long arc research agendas and product development. We've aligned our community to agree that these things are fundamental rights that matter.
IOG - The Cardano Community Member
We’re active members of the Cardano community through the Intersect Board and the Intersect Civics Committee. Together, we’re convening the constitution workshops and the ratification of the constitution.
We’re also supporting them in the development of their open-source, fit-for-purpose, product backlog process for Cardano - ensuring it’s process driven, and collaborative. In the same vein, we’ll also serve on numerous technical steering committees and working groups, including the Cardano Foundation (CF). This work shows our commitment to Cardano.
Cardano Innovation and Ecosystem Experts
As we help define and innovate the Cardano ecosystem, we refine our own ecosystem design and innovation skills. Within this objective, we’ll continue to evolve Catalyst as a critical role in the ecosystem, too.
Cardano Value Model
As we define how we participate in the Cardano ecosystem, we will identify how we give back, and also how to leverage a lot of really interesting things within the ecosystem as a value model. This would include sourcing new deals or new product ideas for our future Venture Studio.
We're also going to be securing a long-term vendor contract with the Intersect and the Dev Trust for IOI.",How will the proposed tenets in the Cardano constitution ensure the preservation and protection of user value and information within the decentralized ecosystem?,"The proposed tenets in the Cardano constitution will ensure the preservation and protection of user value and information within the decentralized ecosystem by committing to long-term research agendas and product development that prioritize decentralization and inclusive accountability. These tenets will be written down and proposed to the community for ratification, serving as design principles and goals within the Cardano constitution. They will tell users that certain things will stay true in the protocol, such as the inability to have funds locked, transactions blocked, or applications prevented from deployment. The system will safely preserve the value and information that users decide to store in it, and no one will be able to edit the blockchain because it's inconvenient for them. This commitment to values and rights will differentiate the Cardano ecosystem from other web3 ecosystems and ensure the long-term preservation and protection of user value and information."
"Review Our Employee Value Proposition
We want to grow our people and culture capabilities and create a culture first approach to everything we do. We have an amazing corporate strategy, and we believe that capturing, harnessing, and deploying our culture in a strategic way will help us drive that overarching strategy forward. In order to realize that, we first have to get really focused on employee experience, which anchors on the employee lifecycle.
Improve Retention, Sustainability, and Productivity
A big part of this objective is going to be defining and building a next level, data informed, customer-centric, employee life cycle capability. This capability will be like a center of excellence, serving as a central point of cultural coordination between the teams and capabilities that touch the employee experience.
We want to have an amazing value proposition that will help attract talent, and retain them through employee growth, engagement, and career planning and development.We’ll partner with the Talent Acquisition team to make sure we're attracting top talent that mesh as well with our culture.
Robust Internal Communication
Internal communication is a huge capability to deliver our people and culture objectives. This year you’ll see us invest in a robust internal comms layer that prioritizes transparency and cultural integration.
We’ve already made huge strides by introducing an intranet, which will continue to grow and evolve this year, with your input. Through this channel, and the evolution of our other key internal channels like our Town Hall, you’ll access timely, effective and relevant information to support you in your role.","What is the role of the proposed central point of cultural coordination in realizing the company's goal of harnessing and deploying its culture in a strategic way to improve retention, sustainability, and productivity?","The proposed central point of cultural coordination will serve as a hub for all things related to employee experience, which is a key component of the company's goal of harnessing and deploying its culture in a strategic way to improve retention, sustainability, and productivity. This central point will coordinate the efforts of various teams and capabilities that touch the employee experience, ensuring that there is a consistent and cohesive approach to culture-building. By defining and building a next level, data-informed, customer-centric, employee life cycle capability, the company will be able to attract and retain top talent, as well as support their growth, engagement, and career development. This, in turn, will lead to improved retention, sustainability, and productivity. Additionally, the company will invest in a robust internal comms layer that prioritizes transparency and cultural integration, which will further support the efforts of the central point of cultural coordination."
,In the context of,"Context:
        The following is a list of the top 10 most populous cities in the world:
        
        1. Tokyo, Japan - 37,400,068
        2. Delhi, India - 30,113,133
        3. Shanghai, China - 27,058,480
        4. São Paulo, Brazil - 22,043,028
        5. Mumbai, India - 20,712,875
        6. Beijing, China - 20,500,000
        7. Cairo, Egypt - 20,484,965
        8. Dhaka, Bangladesh - 20,283,552
        9. Mexico City, Mexico - 21,782,378
        10. Osaka, Japan - 19,281,000

        Question: In the context of, what is the population of Tokyo, Japan?

        Answer: The population of Tokyo, Japan is 37,400,068."
,In the context of,"Context:
        The following is a list of the top 10 most populous countries in the world:
        
        1. China
        2. India
        3. United States
        4. Indonesia
        5. Pakistan
        6. Brazil
        7. Nigeria
        8. Bangladesh
        9. Russia
        10. Mexico

        In the context of the top 10 most populous countries in the world, which country is in the 6th position?

        Brazil is in the 6th position in the context of the top 10 most populous countries in the world."
,In the context of,"Context:
        The following is a list of the top 10 most populous cities in the world:
        
        1. Tokyo, Japan
        2. Delhi, India
        3. Shanghai, China
        4. São Paulo, Brazil
        5. Mumbai, India
        6. Cairo, Egypt
        7. Dhaka, Bangladesh
        8. Mexico City, Mexico
        9. Beijing, China
        10. Osaka, Japan

        In the context of the top 10 most populous cities in the world, which city is the only one located in Japan?

        Tokyo, Japan"
"This is a minor release.
Total number of issues worked on this release:
.","How many issues were worked on in this minor release, as stated in the context?",
"Description
Comments
Date of release candidate
24 Jan 2024
→
02 Feb 2024
Date of final release
31 Jan 2024
→
09 Feb 2024
Release
https://input-output.atlassian.net/projects/ATL/versions/10893/tab/release-report-all-issues
This is a minor release
This release note change log
Summary
note
This release candidate will undergo an internal security audit that is targeted to be finished for the final release. For detailed description and change log, the source of truth is the github release note.
This release candidate will undergo an internal security audit that is targeted to be finished for the final release. For detailed description and change log, the source of truth is the github release note.
Summary
This release is bringing
new features
,
bug fixing
and
technical debt
on the PRISM v2.8 release.
For the original list of features supported, refer to the release note
PRISM 2.0.0 Release
.
The main feature added is:
SDKs are using the Apollo cryptographic library
Updated documentation
We have updated our documentation site accordingly -
Hello from Atala PRISM V2 | Atala PRISM V2
. Notably, the Quick Start Guide has been reviewed and is up to date.
Breaking Changes:
Some were introduced with this release in SDKs Swift and TypeScript when integrating Apollo
Out of Scope
Manage product: it is still released as an internal tool
Known Issues / Restrictions
Mediator: Pickup protocol “Live Mode” is not yet released as beta
Git
H
ub Release Notes
Release candidate:
https://github.com/input-output-hk/atala-releases/pull/23/files
Final version:
https://github.com/input-output-hk/atala-releases/blob/master/Atala%20PRISM/2.9.md
will be signed off by CDS.
Component
Versions/Tags
Change in this release?
PRISM Agent-->Enterprise Open Agent
v1.25.0
Yes, released on
25 Jan 2024
Building block CHANGELOG.md
PRISM Node
v2.2.1
No, released on
27 Jul 2023
PRISM Node CHANGELOG.md
PRISM Mediator
v0.10.2
No, released on
06 Nov 2023
PRISM Mediator CHANGELOG.md
Cryptographic library
v1.2.10
No, released on
21 Dec 2023
Apollo CHANGELOG.md
Wallet SDK Swift
v4.0.0
Yes, released on
31 Jan 2024
Wallet SDK Typescript
v4.0.2
Yes, released on
08 Feb 2024
SDK TS CHANGELOG.md
Wallet SDK KMM
v2.7.0
Yes, released on
31 Jan 2024
SDK KMM CHANGELOG.md
Documentation site
v1.78.1
Yes, released on
09 Feb 2024
Docs CHANGELOG.md
Security audit:
Minor releases get internal audit on the release candidate. As it was announced by IOHKCYB shared service, it is not under their capacity to perform a monthly security audit and hence, it was agreed that an internal audit will be requested every 2 releases.
Major releases and new products get external audits
This minor release will not go through a security audit but the next release will.
QA Reports
PRISM Agent
Version: 1.25.0
Tested:
e2e:
https://github.com/hyperledger-labs/open-enterprise-agent/actions/runs/7655511148/artifacts/1194908302
PRISM Mediator
Version: 0.10.2
Tested:
e2e:
https://github.com/input-output-hk/atala-prism-mediator/suites/17943857321/artifacts/1031342947
Wallet SDK (KMM)
Version
: 2.7.0
Environment
: local
e2e:
Wallet SDK (Swift)
Version
: 4.0.0
Environment:
local
Wallet SDK (TypeScript)
Version
: 4.0.2
Environment
: local
e2e:
Defects
None
Feature Flag Status
Flag
Short description
Introduced in:
Range and Default setting
Changed since last release?
No feature flag in this release
any feature flag should be indicated in
README.md
in the corresponding repository.
Documentation
The documentation can be accessed on this site:
http://docs.atalaprism.io/
and
http://swift-docs.atalaprism.io
. This table lists if there are any other documents linked to this release such as the Confluence page, online docs, or PDF files that are downloadable.
Link that points to the docs
Status of the doc
Update since last release
n/a: No additional document for this release.
n/a
n/a
Sign-off project team status
Sign-off of
stories
QA Lead
Allain Magyar
OEA-Swift-SDK:
OEA-TS-SDK:
OEA-KMM-SDK:
OEA:
OEA-mediator:
Project Manager
Michael Breuninger
Product Manager
Mark Griffin
Lohan Spies
Jira Status
Done Issues
Done Epics
Done Spikes
Done Dependencies
Done Bugs
Done Stories
Done Tasks
Done Sub-tasks
Blocked
Open issues (all types)
Epics
During this update, we worked on the features linked to the following epics:
Known issues
We delivered while we are still working on those tickets that are known limitations:
Completed research spikes
To deliver this release, we needed to research on:
Dependencies
Working with other tribes, we resolved those dependencies:
Realised Stories
During this update, we took care of the following stories:
Delivered Tasks
During this update, we took care of the following tasks:
Fixed Bugs
During this update, we took care of the following bugs:
Tech Debt
Gathering all technical debt items worked during this release.
Issues decided not to do","What are the new features and breaking changes introduced in the PRISM v2.8 release, and how do they affect the Swift and TypeScript SDKs?","The PRISM v2.8 release introduces new features, bug fixing, and technical debt. The main feature added is that SDKs are using the Apollo cryptographic library. The documentation site has been updated accordingly. Breaking changes were introduced in the Swift and TypeScript SDKs when integrating Apollo. The Mediator's Pickup protocol ""Live Mode"" is not yet released as beta. The PRISM Agent, PRISM Node, PRISM Mediator, and Cryptographic library versions remain unchanged. The Wallet SDK Swift and Wallet SDK Typescript were updated to v4.0.0 and v4.0.2 respectively, and the Wallet SDK KMM was updated to v2.7.0. The documentation site was updated to v1.78.1. The release candidate underwent an internal security audit, but the next release will have an external audit."
"Signoff checklist
The CDS Sign-off's purpose is to trigger documentation deployment and release announcements.
Review of the PDS Release notes (from
atala-releases
repository)
Documentation
Trigger
deployment
of documentation to the production site (the version deployed aligns with the “documentation portal” version mentioned on atala-releases for the current release)
Verify documentation deployment
Announcement
Prepare release announcement
Publish release announcement
Documentation
Link that points to the docs
Anouncement for community
Prism v2.9 was announced in Discord news channel on
12 Feb 2024
(refer to this
message
)
Sign-off
Project Manager
Uros Mrvic
Product Manager
Anushka Soma-Patel
Product Owner
Esteban Garcia
12 Feb 2024
Epics
During this update, we worked on the features linked to the following epics:
Completed research spikes
To deliver this release, we needed to research on:
Dependencies
Working with other tribes, we resolved those dependencies:
Released Stories
During this update, we took care of the following stories:
Delivered Tasks
During this update, we took care of the following tasks:
Issues that are still opened
Issues decided not to do","Who are the project manager, product manager, and product owner responsible for signing off on the CDS Sign-off for the Prism v2.9 release, and when was it signed off?","The project manager responsible for signing off on the CDS Sign-off for the Prism v2.9 release is Uros Mrvic, the product manager is Anushka Soma-Patel, and the product owner is Esteban Garcia. The CDS Sign-off was signed off on 12 Feb 2024."
"This analysis primarily focuses on showcasing data from PI3 and PI4 and uses Monte Carlo simulations to forecast the number of stories that we can finish with 85% chance in PI5.
Monte Carlo Analysis - How many?
If we take into consideration data from PI3 and PI4, we can complete 225 work items
by the end of the PI5, with 85% of chance of finishing.
Photo 1 (P3 and PI4 data)
Comparison for Monte Carlo Analysis - When?
By MCA we can complete
195 work items in PI5
with >97% of chance of finishing, when we take into account data from PI3 and PI4.
Photo 2 (P3 and PI4 data)
Cycle time - 85% it is 46 days in PI3 and PI4 together
PI3 2023 Summary
PI4 2023 Summary","""Using Monte Carlo simulations and considering data from PI3 and PI4, how many work items can we expect to complete with 85% certainty by the end of PI5, and what is the cycle time for this 85% confidence level?""","Using Monte Carlo simulations and considering data from PI3 and PI4, we can expect to complete 225 work items with 85% certainty by the end of PI5. The cycle time for this 85% confidence level is 46 days in PI3 and PI4 together."
"This is a minor release.
Total number of issues worked on this release:
.","How many issues were worked on in this minor release, as stated in the context?",
